route_id,route_long_name,route_type,route_color
1012-10,Term. Jd. Britania - Jd. Monte Belo,3,509E2F
1015-10,Term. Jd. Britânia - Chác. Maria Trindade,3,509E2F
1016-10,Cem. Do Horto - Shop. Center Norte,3,002F6C
1017-10,Perus - Conexão Vl. Iório,3,509E2F
1018-10,Vl. Rosa - Metrô Santana,3,002F6C
1019-10,Sol Nascente - Term. Pirituba,3,509E2F
1020-10,Perus - Conexão Vl. Iório ,3,509E2F
1021-10,Cohab Brasilândia - Term. Pirituba,3,509E2F
1023-10,Vl. Pirituba - Cptm Pirituba,3,509E2F
1024-10,Jd. Carombé - Conexão Petrônio Portela,3,509E2F
1025-10,Jd. Carombé - Conexão Petrônio Portela,3,509E2F
1026-10,Vl. Iara - Conexão Petrônio Portela,3,509E2F
1034-10,Vl. Iara - Conexão Vl. Iório,3,509E2F
1036-10,Cohab Brasilândia - Conexão Vl. Iório,3,509E2F
106A-10,Metrô Santana - Itaim Bibi,3,002F6C
107T-10,Metrô Tucuruvi - Term. Pinheiros,3,002F6C
1156-10,Vl. Sabrina - Pça. Do Correio,3,002F6C
1177-10,Term. A. E. Carvalho - Luz,3,FFD100
1177-31,Term. A. E. Carvalho - Luz,3,FFD100
1178-10,São Miguel - Pça. Do Correio,3,FFD100
1178-31,São Miguel - Pça. Do Correio,3,FFD100
1178-32,Abel Tavares - Pça. Do Correio,3,FFD100
1178-33,Pça. Do Correio - São Miguel,3,FFD100
1178-42,Conj. Hab. Vl. Sílvia - Pça. Do Correio,3,FFD100
118C-10,Jd. Pery Alto - Term. Amaral Gurgel,3,002F6C
118Y-10,Lauzane Paulista - Lapa,3,002F6C
119C-10,Pq. Edu Chaves - Term. Princ. Isabel,3,002F6C
119L-1,Vl. Sulina - Term. Lapa,3,509E2F
119L-10,Vl. Sulina - Term. Lapa,3,509E2F
1206-10,Pq. Vl. Maria - Correio,3,002F6C
121G-10,Pq. Novo Mundo - Metrô Tucuruvi,3,002F6C
128Y-10,Jd. Pery Alto - Lapa,3,002F6C
129F-10,Conexão Petrônio Portela - Metrô Barra Funda,3,509E2F
129F-41,Conexão Petrônio Portela - Pça. Do Correio,3,509E2F
139A-10,Vl. Iório - Lapa,3,509E2F
148L-10,Cohab Antártica - Lapa,3,002F6C
148P-10,Pedra Branca - Metrô Barra Funda,3,002F6C
1701-10,Jova Rural - Metrô Santana,3,002F6C
1701-21,Jova Rural - Metrô Tucuruvi,3,002F6C
1701-22,Jova Rural - Metrô Tucuruvi,3,002F6C
1702-10,Jova Rural - Tietê,3,002F6C
1703-10,Jd. Fontális - Shop. Center Norte,3,002F6C
1705-10,Jd. São João - Metrô Tucuruvi,3,002F6C
1705-51,Cem. Pq. Da Cantareira - Metrô Tucuruvi,3,002F6C
1709-10,Jd. Joana D'arc - Metrô Tucuruvi,3,002F6C
1709-21,Jd. Joamar - Metrô Tucuruvi,3,002F6C
1720-10,Jd. Guancã - Cantareira,3,002F6C
1720-21,Vila Sabrina - Metrô Tucuruvi,3,002F6C
1721-10,Vl. Sabrina - Metrô Carandiru,3,002F6C
1722-10,Jd. Marina - Metrô Tucuruvi,3,002F6C
1726-10,Cem. Pq. Dos Pinheiros - Metrô Santana,3,002F6C
172J-10,Jd. Brasil - Tatuapé,3,002F6C
172K-10,Jd. Tremembé - Metrô Tatuapé,3,002F6C
172N-10,Shop. Center Norte - Metrô Belém,3,002F6C
172N-21,Uninove - Metrô Belém,3,002F6C
172N-22,Catumbi - Metrô Belém,3,002F6C
172P-10,Vl. Zilda - Metrô Belém,3,002F6C
172R-10,Jaçanã - Metrô Belém,3,002F6C
172U-10,Cem. Pq. Dos Pinheiros - Mooca,3,002F6C
172X-10,Pq. Novo Mundo - Metrô Tatuapé,3,002F6C
172Y-10,Vl. Constança - Metrô Belém,3,002F6C
1730-10,Center Norte - Metrô Santana,3,002F6C
1732-10,Vl. Sabrina - Term. Amaral Gurgel,3,002F6C
1738-10,Vl. Constança - Metrô Santana,3,002F6C
1741-10,Vl. Dionisia - Metrô Santana,3,002F6C
1742-10,Jd. Antártica - Metrô Santana,3,002F6C
1743-10,Jd. Pery Alto - Shop. D,3,002F6C
1744-10,Lauzane Paulista - Metrô Santana,3,002F6C
1745-10,Vl.nova Cachoeirinha - Shop. Center Norte,3,002F6C
174M-10,Vl. Sabrina - Museu Do Ipiranga,3,002F6C
1756-10,Pedra Branca - Metrô Santana,3,002F6C
1757-10,Conj. Dos Bancários - Metrô Santana ,3,002F6C
1758-10,Jd. Antártica - Metrô Santana,3,002F6C
1759-10,Jd. Pery - Metrô Santana,3,002F6C
175P-10,Metrô Santana - Ana Rosa,3,002F6C
175T-10,Metrô Santana - Metrô Jabaquara,3,002F6C
1760-10,Cohab Antártica - Shop. Center Norte,3,002F6C
1764-10,Jd. Corisco - Metrô Santana,3,002F6C
1765-10,Jd. Cabuçu - Metrô Tucuruvi,3,002F6C
1767-10,Pq. Edu Chaves - Metrô Tucuruvi,3,002F6C
1771-10,Jd. Fontális - Metrô Santana,3,002F6C
1772-10,Jd. Filhos Da Terra - Metrô Tucuruvi,3,002F6C
1773-10,Cem. Pq. Dos Pinheiros - Mandaqui,3,002F6C
1775-10,Vl. Albertina - Shop. Center Norte,3,002F6C
1778-10,Jd. Cabuçu - Metrô Santana,3,002F6C
177H-10,Metrô Santana - Cid. Universitária,3,002F6C
177H-21,Metrô Santana - Pinheiros,3,002F6C
177Y-10,Metrô Barra Funda - Pinheiros,3,002F6C
1780-10,Jd. Hebron - Metrô Parada Inglesa,3,002F6C
1782-10,Vl. Nova Galvão - Metrô Santana,3,002F6C
1783-10,Cachoeira - Metrô Santana,3,002F6C
1783-22,Jd. Labitary - Metrô Santana,3,002F6C
1785-10,Vl. Aurora - Metrô Santana,3,002F6C
1786-10,Vl. Albertina - Metrô Santana,3,002F6C
1787-10,Vl. Marieta - Metrô Santana,3,002F6C
1788-10,Jd. Fontális - Metrô Santana,3,002F6C
1788-51,Jd. Campo Limpo - Metrô Santana,3,002F6C
178A-10,Metrô Santana - Lapa,3,002F6C
178L-10,Lauzane Paulista - Hosp. Das Clínicas,3,002F6C
178T-10,Metrô Santana - Ceasa,3,002F6C
178Y-10,Vl. Amélia - Metrô Jd. São Paulo,3,002F6C
178Y-21,Conj. Dos Bancários - Metrô Jd. São Paulo,3,002F6C
179X-10,Jd. Fontális - Metrô Barra Funda,3,002F6C
1896-10,Jaraguá - Pça. Ramos De Azevedo,3,509E2F
189L-10,Conexão Vl. Iório - Lapa,3,509E2F
199D-10,Conexão Vl. Iório - Term. Pinheiros,3,509E2F
