stop_id,stop_name,stop_lat,stop_lon
18847,Metropolitano São Mateus - Tma,-23.612613,-46.476124
18848,Clínicas,-23.554022,-46.671108
18849,Vila Madalena,-23.546498,-46.691141
18850,Consolação,-23.558094,-46.660205
18851,Conceição,-23.635039,-46.641239
18852,Jabaquara,-23.646033,-46.641027
18853,São Judas,-23.625882,-46.640936
18854,Saúde,-23.618245,-46.639139
18855,Praça Da Árvore,-23.610583,-46.637918
18856,Santa Cruz,-23.598541,-46.636634
18857,Vila Mariana,-23.589359,-46.634677
18858,Brigadeiro,-23.567615,-46.649027
18859,Trianon-masp,-23.563570,-46.653893
18860,Ana Rosa,-23.581203,-46.638489
18861,Paraíso,-23.575400,-46.640700
18862,Vergueiro,-23.568521,-46.639904
18863,São Joaquim,-23.561435,-46.638534
18864,Marechal Deodoro,-23.533163,-46.657264
18865,Santa Cecília,-23.538095,-46.649009
18866,República,-23.544215,-46.642461
18867,Anhangabaú,-23.547800,-46.639200
18868,Liberdade,-23.555211,-46.635581
18869,Sé,-23.550500,-46.633305
18870,São Bento,-23.544100,-46.634200
18871,Pedro II,-23.549742,-46.626281
18872,Luz,-23.536600,-46.634300
18873,Tiradentes,-23.531324,-46.632672
18874,Armênia,-23.525400,-46.629200
18875,Bresser-mooca,-23.546398,-46.607246
18876,Belém,-23.542922,-46.589676
18877,Portuguesa-tietê,-23.516240,-46.625149
18878,Carandiru,-23.508727,-46.624897
18879,Santana,-23.502716,-46.624716
18880,Jardim São Paulo-ayrton Senna,-23.492734,-46.617354
18881,Parada Inglesa,-23.487111,-46.608877
18882,Tucuruvi,-23.480049,-46.603209
18883,Carrão,-23.537843,-46.564392
18884,Penha,-23.533594,-46.542944
18885,Vila Matilde,-23.531901,-46.530904
18886,Guilhermina Esperança,-23.529319,-46.516673
18887,Patriarca,-23.531079,-46.501715
18888,Artur Alvim,-23.540068,-46.484833
18889,Eng. Goulart,-23.498281,-46.520092
18890,Corinthians-itaquera,-23.542411,-46.471964
18891,Comendador Ermelino,-23.485166,-46.482828
18892,Dom Bosco,-23.541714,-46.447993
18893,José Bonifácio,-23.539120,-46.431683
18894,Antônio Gianetti Neto,-23.554322,-46.383668
18895,Guaianazes,-23.542298,-46.415633
18897,Itaim Paulista,-23.493989,-46.402304
18898,Ferraz De Vasconcelos,-23.540688,-46.368207
18899,Poá,-23.525211,-46.343250
18900,Eng Manoel Feio,-23.478636,-46.364469
18901,Calmon Viana,-23.525497,-46.332803
18902,Suzano,-23.533521,-46.309229
18906,Santo Amaro,-23.655909,-46.719702
18907,Jurubatuba,-23.677465,-46.702213
18908,Socorro,-23.663430,-46.710970
18909,Granja Julieta,-23.627599,-46.712111
18910,Morumbi,-23.621519,-46.701657
18911,Berrini,-23.604669,-46.696825
18912,Vila Olímpia,-23.593185,-46.692871
18913,Cidade Jardim,-23.585337,-46.691293
18914,Amador Bueno,-23.530700,-46.983928
18916,Piqueri,-23.504206,-46.714999
18917,Lapa (linha 7),-23.517538,-46.703952
18918,Lapa (linha 8),-23.519585,-46.700124
18919,Água Branca,-23.521231,-46.689237
18920,Palmeiras - Barra Funda,-23.525317,-46.666547
18921,Perus,-23.404054,-46.754465
18922,Jaraguá,-23.455502,-46.738483
18923,Vila Clarice,-23.470038,-46.744207
18924,Caieiras,-23.367176,-46.752822
18925,Franco Da Rocha,-23.332181,-46.727614
18926,Baltazar Fidélis,-23.310582,-46.722853
18927,Tamanduateí,-23.592982,-46.589343
18928,São Caetano,-23.610281,-46.570330
18929,Utinga,-23.626196,-46.543623
18930,Prefeito Saladino,-23.638762,-46.536860
18931,Ribeirão Pires,-23.713586,-46.414805
18932,Rio Grande Da Serra,-23.742981,-46.392026
18934,Capuava,-23.658510,-46.490542
18935,Mauá,-23.668016,-46.461769
18936,Prefeito Celso Daniel - Santo André,-23.652472,-46.528568
18937,Guapituba,-23.691321,-46.449263
18939,Júlio Prestes,-23.532964,-46.640763
18940,Luz,-23.535103,-46.635436
18941,Moóca,-23.557799,-46.608419
18942,Ipiranga,-23.582356,-46.596660
18944,Tatuapé,-23.540300,-46.576700
18946,Santa Rita,-23.545115,-46.947651
18947,Itapevi,-23.545728,-46.935416
18948,Engenheiro Cardoso,-23.535245,-46.928291
18949,Sagrado Coração,-23.529080,-46.917280
18950,Jandira,-23.527721,-46.902507
18951,Jardim Silveira,-23.523568,-46.893491
18952,Jardim Belval,-23.514306,-46.889290
18953,Barueri,-23.512644,-46.875113
18954,Antônio João,-23.516859,-46.858801
18955,Santa Terezinha,-23.516347,-46.848070
18956,Carapicuíba,-23.518744,-46.835417
18957,General Miguel Costa,-23.523639,-46.815998
18958,Quitaúna,-23.522871,-46.807085
18959,Comandante Sampaio,-23.525990,-46.796059
18960,Osasco,-23.527834,-46.776007
18961,Presidente Altino,-23.530423,-46.760577
18962,Ceasa,-23.538372,-46.741543
18963,Villa Lobos- Jaguaré,-23.546718,-46.732079
18964,Imperatriz Leopoldina,-23.523749,-46.737662
18965,Pirituba,-23.488464,-46.726058
18966,Pinheiros,-23.566631,-46.703082
18967,Cidade Universitária,-23.557570,-46.712434
18968,Hebraica - Rebouças,-23.573822,-46.698634
18969,Domingos De Moraes,-23.518787,-46.721665
18971,Francisco Morato,-23.284893,-46.742046
18972,Botujuru,-23.235410,-46.767932
18973,Campo Limpo Paulista,-23.207264,-46.784873
18974,Várzea Paulista,-23.208824,-46.829012
18975,Jundiai,-23.195643,-46.871900
18976,Itaquaquecetuba,-23.485770,-46.348456
18978,Jundiapeba,-23.542687,-46.256308
18979,Brás Cubas,-23.536255,-46.225325
18980,Mogi Das Cruzes,-23.521185,-46.197135
18981,Estudantes,-23.515696,-46.184930
18984,Ana Rosa,-23.581388,-46.638455
18985,Palmeiras - Barra Funda,-23.525592,-46.666651
18986,Palmeiras - Barra Funda,-23.525703,-46.666803
18987,Brás,-23.545461,-46.616228
18989,Paraíso,-23.575300,-46.640800
19000,Sé,-23.550611,-46.633505
19040,Largo Treze,-23.654465,-46.710305
19041,Santo Amaro,-23.655575,-46.721095
19042,Giovanni Gronchi,-23.643975,-46.734112
19043,Vila Das Belezas,-23.640331,-46.745882
19044,Campo Limpo,-23.648987,-46.758878
19045,Capão Redondo,-23.659955,-46.768691
19070,Via Transversal Sul,-23.580727,-46.794023
