route_id,service_id,trip_id,trip_headsign,direction_id
1012-10,USD,1012-10-0,Jd. Monte Belo,0
1012-10,USD,1012-10-1,Term. Jd. Britania,1
1015-10,USD,1015-10-0,Chác. Maria Trindade,0
1016-10,USD,1016-10-0,Shop. Center Norte,0
1016-10,USD,1016-10-1,Cem. Do Horto,1
1017-10,USD,1017-10-0,Conexão Vl. Iório,0
1017-10,USD,1017-10-1,Perus,1
1018-10,USD,1018-10-0,Metrô Santana,0
1018-10,USD,1018-10-1,Vl. Rosa,1
1019-10,USD,1019-10-0,Term. Pirituba,0
1019-10,USD,1019-10-1,Sol Nascente,1
1020-10,USD,1020-10-0,Conexão Vl. Iório ,0
1020-10,USD,1020-10-1,Perus,1
1021-10,US_,1021-10-0,Term. Pirituba,0
1021-10,US_,1021-10-1,Cohab Brasilândia,1
1023-10,USD,1023-10-0,Cptm Pirituba,0
1024-10,USD,1024-10-0,Conexão Petrônio Portela,0
1024-10,USD,1024-10-1,Jd. Carombé,1
1025-10,USD,1025-10-0,Conexão Petrônio Portela,0
1025-10,USD,1025-10-1,Jd. Carombé,1
1026-10,USD,1026-10-0,Conexão Petrônio Portela,0
1026-10,USD,1026-10-1,Vl. Iara,1
1034-10,USD,1034-10-0,Conexão Vl. Iório,0
1034-10,USD,1034-10-1,Vl. Iara,1
1036-10,USD,1036-10-0,Conexão Vl. Iório,0
1036-10,USD,1036-10-1,Cohab Brasilândia,1
106A-10,USD,106A-10-0,Itaim Bibi,0
106A-10,USD,106A-10-1,Metrô Santana,1
107T-10,USD,107T-10-0,Term. Pinheiros,0
107T-10,USD,107T-10-1,Metrô Tucuruvi,1
1156-10,USD,1156-10-0,Pça. Do Correio,0
1156-10,USD,1156-10-1,Vl. Sabrina,1
1177-10,USD,1177-10-0,Luz,0
1177-10,USD,1177-10-1,Term. A. E. Carvalho,1
1177-31,U__,1177-31-0,Luz,0
1177-31,U__,1177-31-1,Term. A. E. Carvalho,1
1178-10,USD,1178-10-0,Pça. Do Correio,0
1178-10,USD,1178-10-1,São Miguel,1
1178-31,U__,1178-31-0,Pça. Do Correio,0
1178-31,U__,1178-31-1,São Miguel,1
1178-32,U__,1178-32-0,Pça. Do Correio,0
1178-33,U__,1178-33-0,São Miguel,0
1178-42,U__,1178-42-0,Pça. Do Correio,0
118C-10,USD,118C-10-0,Term. Amaral Gurgel,0
118C-10,USD,118C-10-1,Jd. Pery Alto,1
118Y-10,USD,118Y-10-0,Lapa,0
118Y-10,USD,118Y-10-1,Lauzane Paulista,1
119C-10,USD,119C-10-0,Term. Princ. Isabel,0
119C-10,USD,119C-10-1,Pq. Edu Chaves,1
119L-10,US_,119L-10-0,Term. Lapa,0
119L-10,US_,119L-10-1,Vl. Sulina,1
1206-10,USD,1206-10-0,Correio,0
121G-10,USD,121G-10-0,Metrô Tucuruvi,0
128Y-10,USD,128Y-10-0,Lapa,0
128Y-10,USD,128Y-10-1,Jd. Pery Alto,1
129F-10,USD,129F-10-0,Metrô Barra Funda,0
129F-10,USD,129F-10-1,Conexão Petrônio Portela,1
129F-41,U__,129F-41-0,Pça. Do Correio,0
129F-41,U__,129F-41-1,Conexão Petrônio Portela,1
139A-10,USD,139A-10-0,Lapa,0
139A-10,USD,139A-10-1,Vl. Iório,1
148L-10,USD,148L-10-0,Lapa,0
148L-10,USD,148L-10-1,Cohab Antártica,1
148P-10,USD,148P-10-0,Metrô Barra Funda,0
148P-10,USD,148P-10-1,Pedra Branca,1
1701-10,USD,1701-10-0,Metrô Santana,0
1701-21,USD,1701-21-0,Metrô Tucuruvi,0
1701-21,USD,1701-21-1,Jova Rural,1
1701-22,U__,1701-22-0,Metrô Tucuruvi,0
1701-22,U__,1701-22-1,Jova Rural,1
1702-10,USD,1702-10-0,Tietê,0
1702-10,USD,1702-10-1,Jova Rural,1
1703-10,USD,1703-10-0,Shop. Center Norte,0
1703-10,USD,1703-10-1,Jd. Fontális,1
1705-10,USD,1705-10-0,Metrô Tucuruvi,0
1705-10,USD,1705-10-1,Jd. São João,1
1705-51,U__,1705-51-0,Metrô Tucuruvi,0
1705-51,U__,1705-51-1,Cem. Pq. Da Cantareira,1
1709-10,USD,1709-10-0,Metrô Tucuruvi,0
1709-10,USD,1709-10-1,Jd. Joana D'arc,1
1709-21,U__,1709-21-0,Metrô Tucuruvi,0
1720-10,USD,1720-10-0,Cantareira,0
1720-10,USD,1720-10-1,Jd. Guancã,1
1720-21,USD,1720-21-0,Metrô Tucuruvi,0
1721-10,USD,1721-10-0,Metrô Carandiru,0
1722-10,USD,1722-10-0,Metrô Tucuruvi,0
1722-10,USD,1722-10-1,Jd. Marina,1
1726-10,USD,1726-10-0,Metrô Santana,0
1726-10,USD,1726-10-1,Cem. Pq. Dos Pinheiros,1
172J-10,USD,172J-10-0,Tatuapé,0
172J-10,USD,172J-10-1,Jd. Brasil,1
172K-10,USD,172K-10-0,Metrô Tatuapé,0
172K-10,USD,172K-10-1,Jd. Tremembé,1
172N-10,USD,172N-10-0,Metrô Belém,0
172N-10,USD,172N-10-1,Shop. Center Norte,1
172P-10,USD,172P-10-0,Metrô Belém,0
172P-10,USD,172P-10-1,Vl. Zilda,1
172R-10,USD,172R-10-0,Metrô Belém,0
172R-10,USD,172R-10-1,Jaçanã,1
172U-10,USD,172U-10-0,Mooca,0
172U-10,USD,172U-10-1,Cem. Pq. Dos Pinheiros,1
172X-10,USD,172X-10-0,Metrô Tatuapé,0
172X-10,USD,172X-10-1,Pq. Novo Mundo,1
