user_id,path_id,color
'1','1','04263F'
'1','2','8D918D'
'1','3','C211EA'
'1','4','AFEEEC'
'1','5','6F0C71'
'1','6','F82940'
'1','7','88C2D2'
'1','8','90C14F'
'1','9','903F5D'
'1','10','1A5509'
'1','11','D06687'
'1','12','FC199E'
'1','13','309AF6'
'1','14','E706F3'
'1','15','A88A40'
'1','16','EB6EEC'
'1','17','BD2FA0'
'1','18','ECEAFE'
'1','19','8A405C'
'1','20','F48C74'
'1','21','1EC47F'
'1','22','E90C06'
'1','23','464DD0'
'1','24','F45312'
'1','25','09FE2B'
'1','26','519B41'
'1','27','9C3107'
'1','28','4E90F1'
'1','29','418D43'
'1','30','8D58B3'
'1','31','6F4163'
'1','32','CC3595'
'1','33','C435E4'
'1','34','4497DA'
'1','35','46FFE8'
'1','36','9CF69A'
'1','37','24A1E4'
'1','38','4CD4B2'
'1','39','5D6EF9'
'1','40','C2CE6D'
'1','41','995438'
